Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258
1988-10-31,2.7134,3.2467,3.9864,3.5411,3.7041,3.5626,4.8218,2.8251,4.4817,1.9326,5.4917,4.3451,2.5175,1.7935,3.8592,2.6139,3.6305,4.6316,2.0921,3.4509,4.3422,4.1097,3.4057,5.5747,3.1004,3.7164,4.1275,7.6567,6.6358,3.3252,4.5813,3.4904,6.7986,6.1667,2.9149,4.6301,4.7712,5.2496,3.6260,2.7368,3.6798,3.4981,2.3334,3.2159,2.4853,2.1991,2.7943,3.2530,2.7437,3.2433,3.5599,3.5664,3.0952,2.0504,3.2867,4.7825,3.4203,2.0783,2.6271,2.1949,2.4496,2.7661,2.9728,2.3537,1.5169,1.4900,3.3057,1.9705,3.2379,3.0154,2.9495,3.0312,4.4965,4.7256,3.7099,4.2339,8.0782,4.0653,2.2534,3.6304,3.1750,2.7487,3.8089,3.3582,2.9646,2.4463,5.2258,7.1435,3.5002,2.8817,5.1108,5.0492,6.5731,4.0056,2.8373,3.8429,2.8589,2.1623,2.1627,2.9867,2.3309,2.8188,2.4183,2.6932,2.7481,2.3763,2.1591,2.1801,2.8699,3.0119,3.4590,2.4152,2.0794,3.6861,2.9383,2.6668,2.6630,2.4398,2.4023,2.3440,2.1136,2.0751,2.0705,4.0091,1.7136,1.5516,1.9528,2.1651,2.2020,1.3340,3.9510,4.7466,2.4134,3.6892,2.6137,1.3940,3.9834,1.4549,4.7224,2.3974,1.2080,3.9757,3.9510,1.9271,3.0681,3.4610,4.2520,5.6046,4.6295,3.9260,6.5186,5.8763,8.9916,9.3551,1.1456,.8991,3.4073,3.0815,.6214,1.7365,1.2593,5.7371,3.2349,.7750,2.0885,.5573,4.3052,3.3845,6.8417,.4550,4.4344,3.4385,7.3831,1.0941,1.5713,.7593,.8112,16.5707,11.0578,3.2340,2.1206,2.1669,1.3249,.9669,5.8417,1.1812,3.2786,.5700,2.2030,.3952,2.7598,2.8098,.5279,1.7088,1.3555,.9798,.9853,1.1126,2.7462,2.4245,2.2310,2.2766,2.0852,2.7545,1.9796,2.0387,1.8835,2.0117,3.1390,1.9609,2.7008,2.2190,4.4461,2.3384,3.8935,5.9058,2.4103,2.3655,1.9003,5.2375,3.6956,2.9764,3.5509,2.5810,5.6346,3.7231,4.7463,4.5886,8.9111,3.8709,5.5099,2.6857,4.6743,2.4773,3.6490,2.2594,3.7940,2.8607,2.5696,2.0132,3.1093,2.2162,2.4322,2.3929,3.0408,4.1354,2.2905,4.3605,2.2575,2.8804,2.5767,2.7428,2.3244,2.3451,2.6845,2.5459,2.6181,2.3569
1988-11-30,1.8597,2.2300,3.1709,2.2245,1.6375,1.8976,2.5080,1.1451,2.2398,.8458,2.2181,1.9613,.7223,.9026,1.9580,.6643,1.6611,2.1723,.4833,2.4877,1.8971,2.1874,1.8114,1.8194,1.9414,2.6526,1.2807,2.0783,1.8731,.9468,3.4713,2.1274,3.5923,4.4905,2.1874,3.2011,3.3309,3.7472,2.3809,1.4777,2.8941,2.5988,1.8135,2.3153,1.7969,1.5084,2.0481,2.1202,1.8531,2.0817,2.5934,2.2747,1.8354,1.3120,2.2070,3.3875,2.3402,1.4610,1.6713,1.3298,1.5081,1.5517,1.6587,1.4082,.4299,.6284,2.1105,.9950,2.5596,1.6491,2.0204,2.2237,2.1699,2.1975,2.8689,2.0712,3.9891,1.8291,1.7189,2.0951,1.5128,1.9242,2.6033,2.5177,1.7994,2.2267,1.9770,2.7934,1.9795,2.4202,2.2221,2.1216,4.2934,2.4396,2.0511,1.7914,2.3026,1.9569,1.9111,1.9344,2.5453,2.4306,3.3982,2.0450,2.0191,1.1100,2.2988,1.9174,2.3317,2.3374,1.7501,2.0611,1.7629,1.5871,1.4423,2.1476,1.1670,2.0687,1.4785,1.9259,1.8239,2.1209,1.6193,1.5660,2.3555,1.5435,1.6263,1.7279,2.8932,1.0655,2.2656,2.6144,1.9593,1.3956,3.2388,1.9585,1.7455,.5420,3.2093,2.5894,.9125,1.1953,1.3784,.8968,1.1720,2.8005,2.9612,3.9666,3.6145,2.8966,3.9850,3.0289,3.2611,5.0717,.8378,.7106,1.0084,1.0570,.4064,1.2403,.9010,3.5105,1.9740,.6670,1.5572,.3369,2.8646,1.5736,1.0795,.2077,2.1106,2.3942,3.6503,.8647,.7800,.5712,.6996,10.2582,6.0869,2.5444,1.6880,1.7631,1.4722,.6666,1.0978,.8093,1.8806,.3419,.9142,.3577,1.0037,1.0394,.5449,1.1252,.8728,.7080,.9678,.7937,1.0421,1.1396,1.0629,1.1128,.9475,1.3192,.8004,.9298,1.1062,1.2302,1.4642,.7684,1.8403,.8183,1.5594,.5732,1.5438,2.0120,.6265,.7313,.6178,1.7711,1.7766,2.4063,2.3838,1.9180,1.7801,2.4749,1.6033,1.7402,1.4462,1.4961,5.5465,1.6846,1.4610,1.5522,1.5341,1.5027,1.4807,1.4056,1.4731,.8485,2.1269,1.1399,1.7022,1.6542,1.8454,1.7040,1.3625,1.8227,1.6122,2.5406,1.9404,2.0019,1.8342,1.8461,2.2293,1.8001,1.8748,1.9009
1988-12-31,1.8659,1.9576,1.9114,1.2235,1.7052,1.9193,1.4850,1.2587,1.1659,.8019,1.3403,1.1984,.7170,.8029,1.2114,.5082,.8414,1.3751,.3072,1.6797,1.8820,1.0447,1.2647,.9151,1.6776,2.3777,1.1731,1.1203,1.4808,.4905,2.7457,1.7617,2.0262,3.4869,1.8283,2.7145,2.7332,3.0237,2.1121,1.4731,2.2607,2.0136,1.8472,1.8652,1.6113,1.5933,1.7221,1.9983,1.6506,1.8982,2.0186,1.8277,1.6380,1.4311,2.0428,2.7537,2.1721,1.5594,1.7286,1.3548,1.4293,1.4414,1.7647,1.4720,.4868,.6863,1.9911,1.0998,2.3744,.9140,1.2522,2.0006,1.2838,1.3219,2.1492,1.7904,2.8639,1.5713,1.7947,1.8275,.9373,1.9824,1.8588,.9411,1.8390,2.0319,1.6854,2.1579,1.6279,.8730,1.8860,1.9077,2.8678,1.8863,1.8890,1.8116,2.0884,1.4601,1.4800,1.7216,1.6188,2.1892,1.4217,1.9010,1.9014,1.0736,1.3107,1.5589,2.2918,2.2307,.7005,2.1466,1.4296,1.5646,1.3510,1.9574,1.2708,2.1715,1.1650,1.6173,1.6049,.9630,1.5569,1.6823,1.7081,1.6712,1.4900,1.8780,2.1927,1.1575,2.0857,2.1336,1.5318,.6811,2.9184,1.6514,1.8636,.5921,1.9244,2.4808,.9143,.6736,1.4073,.8453,1.2542,2.1633,2.6374,2.2672,2.3314,1.8962,2.8213,2.3103,2.5571,3.0991,.8336,.7253,.6265,.6417,.4671,.7282,.8843,2.6195,1.3652,.6750,.7324,.3658,2.1132,1.3237,.6301,.1640,1.6069,1.7046,2.5399,.8613,.7600,.6841,.8457,4.0846,2.1768,1.9741,1.6562,1.7428,1.6060,.6965,.8088,.8588,1.4770,.3980,.9710,.4484,1.0045,.7938,.6005,1.0308,.8658,.7919,1.1550,.8725,.7972,.9676,1.1623,1.2222,.9411,.7171,.9093,1.0447,1.0544,1.1233,1.5619,1.0184,1.5359,.4108,1.0445,.4238,1.0819,.8056,.4143,.3961,.4656,.8080,.9519,2.1232,1.8029,1.7634,.8331,1.7410,.8251,.8754,.8145,.8860,4.3112,.8884,.8090,.9276,.8609,1.5132,.8474,.8769,.8300,.5518,1.8369,1.1812,1.6779,1.6564,.9202,.8850,1.5072,.8681,1.3467,1.2679,.9650,.9487,1.8646,1.3427,2.1070,.8350,.8879,1.3023
1989-01-31,2.1705,4.3086,4.1299,3.5589,3.5285,2.4701,4.0202,2.0000,2.6819,2.7871,3.6658,3.3966,2.3880,2.9211,3.6008,2.8172,2.6690,2.1933,2.7366,1.5609,1.8462,2.0441,1.7987,2.3454,1.6283,2.2857,1.1786,2.0664,1.8256,1.2111,2.2899,1.7076,1.9069,2.9062,1.6974,2.4338,2.4069,2.6038,2.0361,1.7120,1.9142,1.9640,1.6737,1.8662,1.6128,1.4992,1.5954,2.0816,1.7699,1.9143,1.9521,1.7459,1.7074,1.4208,2.0499,2.4140,2.1766,1.5429,1.9002,1.7376,1.9599,1.5495,1.8358,1.7684,.6435,.8305,1.9538,1.4500,2.1459,.9662,1.1056,1.8011,2.1555,2.1200,1.5586,1.5019,2.0312,1.8173,1.6605,1.7738,.7885,2.0546,1.2379,1.6515,1.7511,1.8852,1.5232,1.7651,1.2527,1.3608,1.5713,1.6468,1.9013,1.4370,1.8329,1.6981,1.8717,1.6128,1.5915,1.5413,1.7043,2.0064,1.5554,1.8727,1.9092,1.1354,1.7469,1.7117,2.2345,2.1215,1.3187,2.1328,1.5050,1.5496,1.3983,1.9086,1.3334,2.1329,1.4025,1.5549,1.7397,1.3515,1.5979,1.6353,1.1290,1.7834,1.6197,1.9102,.9889,1.2900,1.8959,1.7921,1.3812,1.1879,.8711,1.4782,1.9130,.6818,1.3099,2.2707,.9588,1.1061,1.4508,.9517,1.3393,1.5863,2.0973,1.4255,1.5230,1.2978,2.0338,1.6896,1.9826,1.9802,.8705,.7536,1.0471,.9913,.5522,1.1252,.9655,1.8501,1.0473,.7060,.9977,.4499,1.4820,1.0442,1.0231,.2295,1.1548,1.2617,1.6129,.9082,.7544,.7578,.9285,1.6465,1.0438,1.4502,1.6071,1.6835,1.6291,.7615,1.0992,.9695,1.1533,.4626,1.0744,.5374,.9758,.7598,.6423,.9967,.9271,.8783,1.2115,.9875,.7625,.9255,1.0824,1.1210,.8705,1.0632,.9003,1.0093,.9314,1.1179,1.6159,.9097,1.2475,.3258,.5670,.2634,.5637,1.1523,.2901,.2968,.1583,1.0881,.6330,1.7301,1.2955,1.4940,.7568,1.0903,.4064,.7481,.5925,.3386,2.7944,.6372,.3569,.5217,.3159,1.2695,.2774,.4173,.4095,.2531,1.3825,1.0315,1.3548,1.2834,.4415,.4158,1.2589,.3657,.9764,.4652,.3720,.3478,1.4380,.8284,1.5553,.5477,.4626,.7473
1989-02-28,2.0977,2.8517,3.6564,3.2606,2.8146,2.5865,2.8466,2.2797,3.1746,2.8875,2.5940,2.4243,2.5979,3.0173,2.4716,2.6480,2.2029,1.8273,2.4129,1.3525,1.6980,1.9379,1.5286,2.1331,1.4283,2.0277,1.8767,2.1284,2.2957,1.1843,1.8598,1.4941,1.6260,2.3652,1.4663,2.0658,2.0247,2.1479,1.8006,1.7071,1.5452,1.6897,1.3919,1.6091,1.4338,1.3000,1.3695,1.8798,1.5411,1.7054,1.6510,1.4869,1.5061,1.2701,1.7583,1.8981,1.8688,1.3422,1.7118,1.5492,1.7549,1.3696,1.6663,1.5821,.6456,.8043,1.6726,1.3285,1.7636,.6974,.7809,1.4714,1.6334,1.5981,1.0128,1.2106,1.4250,1.5566,1.4102,1.5416,.5150,1.7679,.7838,2.0347,1.4254,1.6046,1.2890,1.3826,.9191,1.4541,1.1797,1.2437,1.2187,1.0185,1.4819,1.3617,1.5394,1.4345,1.4114,1.2726,1.6000,1.6193,1.8708,1.5680,1.5840,1.0132,1.5223,1.4647,1.7423,1.6223,1.4260,1.6659,1.2639,1.2058,1.0940,1.5031,1.1632,1.6515,1.1113,1.2381,1.4536,1.1819,1.2675,1.3890,1.5308,1.5219,1.4164,1.4547,1.9405,1.1713,1.3322,1.2271,1.0431,1.8965,2.1953,1.4766,1.6807,.6941,1.0394,1.8071,.8830,1.7748,1.3260,.9363,1.2218,1.1110,1.5258,1.0601,1.0982,.9863,1.4232,1.1960,1.4038,1.2248,.8128,.7068,1.8207,1.8906,.6361,2.1660,.9903,1.3554,.8521,.6716,2.1530,.5444,1.0342,.8333,1.6031,.3462,.8638,.9540,1.0656,.9129,.7605,.7622,.9108,.9216,.7935,1.0818,1.3646,1.4303,1.5580,.8838,2.4552,.9990,.9362,.6191,2.9713,.5946,.9119,1.0153,.6517,1.0343,1.0402,1.0206,1.2884,1.0427,.9889,.8478,.8681,.8940,.7055,2.0290,.6898,.8116,.7272,.9949,1.4564,.6362,.9469,.9289,1.5810,.9575,1.5909,1.6991,.9751,.8357,.7314,1.6947,1.7611,1.3367,.9019,1.1807,1.7926,.7080,1.8337,1.8001,1.5202,1.8847,1.6506,1.8745,1.7946,1.7992,1.8479,1.0067,1.8355,1.8303,1.8176,1.3942,1.0197,.8320,1.0014,.9347,1.5262,1.5398,.9282,1.4067,1.3722,1.9978,1.5352,1.5008,.9706,1.5180,1.0164,1.2813,1.3456,1.5668
1989-03-31,2.7893,4.4397,4.1290,3.8645,3.9915,3.9003,4.7477,2.9864,3.3936,2.6884,4.3256,3.8438,2.5166,2.4311,3.8810,2.5130,2.9506,2.9831,2.3440,2.1018,2.1953,2.2209,2.3884,2.9011,1.9989,2.7573,2.4711,3.0007,2.8321,1.8693,2.5103,2.0716,2.7935,3.1349,2.0689,2.8322,2.7803,2.8754,2.5671,2.5218,2.0489,2.3802,1.6176,2.3050,2.0383,1.5728,1.9163,2.6656,2.1808,2.4187,2.3086,2.0807,2.1511,1.5707,2.3079,2.2990,2.4497,1.5950,2.3719,2.3026,2.8127,1.9674,2.3578,2.3163,.9002,1.0738,2.2056,2.1863,2.2219,1.2383,1.3355,1.9404,2.8825,2.8077,1.3986,1.6463,1.7903,2.6131,1.7682,2.6027,1.0374,2.1903,.9133,3.0310,1.6933,2.2618,1.9613,1.8649,1.2707,2.6116,1.6156,1.6227,1.4631,1.3489,1.8850,1.5622,2.2534,2.5904,2.5310,1.8050,3.1239,2.2322,3.0709,2.1072,2.1200,2.1458,2.9742,2.5175,2.2625,2.1957,2.6661,2.2238,2.4758,2.2176,2.3165,1.8289,1.8138,2.1370,2.8172,1.7387,2.2268,3.1096,1.7379,1.6021,2.3805,2.0941,2.9978,2.1696,3.0579,1.5641,1.9673,1.9315,1.5655,2.8356,3.9262,3.2290,2.0292,.9211,2.0592,2.2853,1.1036,2.9338,1.7317,1.7666,1.5868,1.5755,1.8051,2.0679,1.9034,1.9029,2.1569,1.7261,1.8782,1.8961,.9997,.8864,3.0830,3.0758,.7984,3.0238,1.5863,1.9713,1.8305,.8460,2.6691,.7149,1.5775,1.4901,2.8439,.4904,1.4267,1.7082,1.4996,1.5169,1.5737,.9605,1.1074,1.8573,1.8831,1.6475,1.7195,1.7883,1.8618,1.3544,3.4848,1.5787,1.5933,.7769,3.7824,.7705,2.3632,1.4510,.8860,1.8516,1.7660,2.4813,1.5812,1.6308,1.4392,1.7369,1.9112,1.9194,1.3711,2.8597,1.3951,1.4616,1.7110,1.4948,1.8504,1.4000,1.5853,2.2021,2.8266,2.1314,2.8297,3.0006,2.2320,2.1058,1.8602,2.8879,2.8187,2.0462,1.6266,1.9132,2.8519,1.4204,2.6932,2.8587,2.9148,2.6640,1.7450,2.7406,2.5378,2.6525,2.5160,1.7725,2.4987,2.7294,2.5452,2.0334,1.9061,1.3886,1.7932,1.8150,2.6353,2.6230,2.5009,2.4193,2.4782,3.0440,2.5138,2.2409,1.5333,2.4817,1.5349,2.8622,2.5703,2.5176
1989-04-30,2.8609,3.6512,3.2911,2.7278,3.1576,3.1854,2.8784,2.4681,1.9202,1.1788,2.6378,2.5308,1.1521,1.3560,2.5289,1.3930,2.1649,2.5894,1.0120,2.1210,2.4025,1.4891,2.2628,2.3275,2.1470,3.0153,2.7974,2.7244,3.1194,1.4622,2.6919,2.1977,3.0385,3.3327,2.3328,3.1840,3.0941,3.1672,2.9541,2.9255,2.3120,2.5685,1.7558,2.5947,2.3650,1.7556,2.2191,3.1077,2.5832,2.8136,2.5442,2.5311,2.7338,1.7948,2.7532,2.6050,2.9231,1.7944,2.9963,2.7308,3.3535,2.6086,3.0297,2.7979,1.2194,1.1984,2.6199,2.3570,2.6538,1.9467,2.1258,2.4031,3.5914,3.6489,2.0548,2.2694,2.2078,3.4171,2.2740,3.9538,1.9835,2.6082,1.3573,3.3547,3.0787,3.0832,3.1416,2.5835,1.7234,3.3107,3.1783,3.3845,2.0713,2.0401,3.8478,2.9834,4.0716,3.3972,3.4004,3.2495,4.2990,3.7213,4.2793,3.0717,3.2321,4.3261,3.8809,3.5962,4.0297,3.4568,3.5296,4.3183,4.6715,4.7876,4.7518,3.0449,4.1676,4.0989,4.3631,2.7759,4.9104,3.8363,4.0943,1.7684,4.6824,3.9693,4.2683,4.4449,4.4281,1.9781,3.9621,3.3453,2.4257,3.4335,5.1570,4.5557,2.2985,1.0284,2.7124,2.7777,1.2116,3.4232,1.9345,3.1910,1.8817,1.9425,2.0404,2.6221,2.4817,2.4187,3.3521,2.6729,2.6009,2.9647,1.1046,.9749,3.2395,3.0074,.8825,3.1877,2.0612,2.8366,2.8822,.9396,3.1354,.7593,2.4029,3.0346,3.1745,.5490,2.1238,2.5456,2.0605,2.0379,1.8665,1.0168,1.1521,2.1917,2.3337,1.8406,1.8427,1.9234,1.9460,1.6054,2.6251,1.9904,1.8415,.7489,2.7200,.8042,2.2696,1.8034,.9796,2.2618,2.2870,2.2800,1.5780,2.0042,1.7496,2.5286,2.3962,2.3997,1.9854,2.4811,1.9198,2.0611,2.1787,1.7330,1.9758,1.8437,2.0298,1.3755,1.5988,1.2817,1.5842,2.2257,1.3783,1.3503,.5240,2.1811,1.6838,2.7922,2.0603,2.8617,1.8355,1.7803,1.4046,1.8712,2.0653,1.1901,1.7124,1.5919,1.2618,1.5864,1.1003,2.7389,1.0803,1.5725,1.3205,.8490,3.1746,1.9462,2.8952,2.7884,1.7130,1.7355,2.2388,1.3391,1.6472,1.9892,1.5151,1.2585,1.9668,1.5533,1.9522,1.0174,1.0914,1.5460
1989-05-31,3.0142,4.6177,5.0725,3.8582,3.3293,3.3992,3.3003,2.6148,3.2287,.6269,2.9351,2.8075,.6164,.9878,2.8194,1.3972,2.5885,2.3521,.8533,2.0234,2.4994,1.1206,2.3372,2.6048,2.2322,3.3013,2.9199,2.9179,3.2781,1.4910,2.7883,2.3089,3.0407,3.6471,2.5019,3.4707,3.4286,3.4802,3.2838,3.1282,2.5002,2.5313,1.9826,2.6674,2.5422,2.0290,2.4296,3.3842,2.7341,3.1098,2.5937,2.6704,2.7487,2.1102,3.0321,2.7967,3.2218,2.0396,3.1954,2.8730,3.4313,2.5491,3.4537,2.9680,1.2900,1.3722,2.7841,2.3058,3.0527,1.9866,2.1076,2.5878,2.8699,2.8163,1.7558,2.4394,2.5911,2.6681,2.6424,2.4172,1.0053,2.7626,1.6266,2.6366,2.4163,3.1068,2.0289,2.6306,2.0958,1.4833,3.1378,2.8926,2.2858,2.2794,2.6045,2.2918,2.7849,2.3232,2.3485,2.3127,2.1899,2.9956,1.6838,2.7352,2.8083,2.1098,2.2190,2.3683,3.2737,3.3542,1.6237,2.9741,1.9558,2.3867,2.5561,2.8901,1.9710,3.0652,2.0735,2.6548,2.2951,1.8167,2.3260,1.9467,1.2272,2.6565,2.2635,2.5537,1.5263,2.0305,2.7083,3.1345,2.4160,1.3842,1.7987,1.9146,2.2771,1.0893,2.6227,2.9105,1.2371,1.5671,2.0066,1.6811,1.9878,2.1060,2.2471,2.5470,2.5482,2.4916,3.5129,2.8924,2.7344,2.9554,1.1627,1.0465,1.5844,1.3136,.7713,1.4359,2.3084,3.3499,2.6853,1.0261,2.1541,.6944,2.7544,2.3542,2.1552,.4757,2.5022,2.8925,2.4103,2.4973,2.1035,1.1604,1.2890,2.3729,2.4794,2.0449,1.8245,1.9172,2.0395,1.9291,2.9259,2.2862,2.1025,.8479,3.6543,.9484,2.4586,1.5691,1.2046,2.6649,2.5566,2.8447,1.8113,2.3182,1.5085,2.7991,2.2484,2.3481,2.2352,2.7833,2.0064,2.2455,2.1118,1.9810,2.3205,1.8839,2.1828,.6687,2.0007,.6238,1.9650,2.6630,.6556,.6940,.5674,2.6422,2.5926,3.0992,2.0567,3.1317,2.8081,1.7367,3.1108,2.8895,2.6983,3.3077,1.6435,3.1682,3.1897,3.1687,3.2251,3.1512,3.2024,3.4900,3.3134,2.3675,3.3552,2.2392,3.3045,3.1248,3.0542,3.0883,3.3587,2.9866,3.8215,3.8871,2.9104,3.1986,2.3869,3.9697,2.3368,2.7261,2.8835,3.9333
1989-06-30,3.5795,8.4179,8.1970,7.3851,6.7216,6.3386,6.3161,6.0235,7.4081,3.9587,5.8306,5.7971,4.0039,3.4519,5.4758,3.8900,5.0756,3.0526,3.3905,2.0396,3.3721,2.2765,3.0646,4.4734,2.3120,3.2582,3.4106,4.4029,4.1615,2.4724,2.6851,2.3102,2.9250,3.4503,2.4631,3.3486,3.2722,3.3177,3.2511,4.2450,2.4117,2.6741,1.9765,2.7510,2.5045,2.0900,2.3659,3.7485,2.9507,3.2408,2.8011,2.6881,3.8403,2.9405,3.0815,2.7486,3.2628,2.0769,3.9358,4.6230,5.5828,3.8839,4.6577,4.6335,2.9350,1.5859,3.1923,4.5971,3.1061,3.2391,2.8868,2.6139,5.0354,4.8215,1.8232,2.9287,2.3508,4.8169,2.9470,5.5628,1.3641,3.8934,1.4486,6.1157,3.2940,3.6834,4.0965,2.9626,1.8247,5.0220,2.9579,2.8801,2.1033,2.1300,3.6492,2.8848,4.7592,5.8771,5.5592,3.5323,6.0945,4.6247,5.9520,4.2801,4.0198,3.2320,5.7705,5.9817,4.6664,3.6147,3.3140,5.6164,6.5900,3.5284,3.2929,4.3832,3.1226,5.4696,3.6324,2.6294,5.9228,3.6818,5.5337,2.0454,5.3295,3.6129,4.7653,4.4162,5.2258,2.2624,3.6727,3.5038,2.4370,5.4077,6.0935,5.0583,2.5173,1.4338,2.7857,3.0974,1.5485,5.6971,2.3259,3.1883,2.2360,2.2561,2.4089,2.8358,2.7355,2.8473,3.3914,2.9846,2.7125,2.7414,1.4008,1.2757,5.6993,6.0442,1.3040,6.2596,2.6896,3.3221,3.1353,1.2304,5.3320,1.1871,3.0054,3.6997,5.5723,.9844,2.6960,3.3644,2.4679,3.0050,2.4022,1.3696,1.4801,2.7160,2.8961,2.2978,2.3426,2.4522,2.5648,2.5357,6.5444,2.9603,2.4274,1.3423,8.2931,3.4590,5.5360,4.2946,1.4404,3.3140,3.1435,7.4670,2.3372,2.9985,4.0800,3.4227,3.3028,3.3910,2.5248,6.4219,2.2690,2.6086,2.7023,4.2647,4.3422,2.6144,3.2194,5.0724,5.0725,4.0030,4.9705,6.5195,4.5310,4.7338,3.7758,6.6273,6.2823,4.2205,2.8942,5.5279,6.7686,2.7391,6.7783,6.8213,7.1726,6.8951,2.3364,6.7410,6.5879,7.2984,6.3914,7.6466,6.4576,7.3172,6.8282,6.5972,4.7812,5.2639,5.8338,7.0709,7.6374,7.7342,8.7494,6.9019,8.4698,9.1941,7.3015,6.7290,6.2665,8.3523,3.7972,6.0731,6.2174,8.3476
1989-07-31,4.4263,6.2880,6.1044,4.8593,5.0344,4.6608,5.2279,3.9311,4.3513,2.5922,4.8633,4.4109,2.7595,2.3190,4.5886,2.8913,4.2002,4.0290,2.3252,2.8597,3.4952,2.0076,3.6834,4.1778,3.2113,4.2703,4.1624,4.8271,4.7848,2.4021,3.9227,3.1752,4.8631,4.4268,3.6141,4.6820,4.3687,4.4515,4.4388,4.9323,3.4418,4.2010,2.4494,4.2264,3.7136,3.0651,3.3833,5.0305,4.1878,4.3895,4.0972,4.1820,4.7417,3.7177,4.3564,3.9559,4.6205,2.7214,4.9404,4.7060,5.4733,4.2667,4.8195,4.6283,2.4372,1.9518,4.0936,3.9320,4.3168,2.8534,2.9986,3.7519,4.9881,5.0026,1.6525,3.3710,2.8279,4.9018,3.8417,5.1627,.9592,4.4109,1.7922,4.8151,4.5654,4.8671,4.1918,3.8595,2.0156,4.2144,4.1233,4.2467,2.6309,2.6611,4.3215,4.2929,4.9472,4.7538,4.5455,3.9752,5.0702,4.7418,4.6867,4.5456,4.2746,4.8786,4.4859,4.6529,4.6544,4.9656,4.4523,4.6166,4.6218,6.0306,5.6648,4.1489,5.5811,4.5792,6.7287,5.4233,4.4793,5.7158,4.6101,2.4803,5.6689,7.4623,7.1414,5.8813,6.7402,3.9993,5.6678,4.7587,4.7286,5.5114,9.0387,7.7248,3.1815,2.4997,4.4758,4.2594,1.7173,6.0139,2.8279,4.8347,3.5772,3.2503,3.2876,4.4320,4.1391,4.0194,4.5023,3.5866,4.1811,4.3600,1.6282,1.5154,4.9837,3.3726,1.2050,3.7459,3.5935,4.2345,4.2194,1.4607,4.6148,1.0922,3.9419,3.6838,5.0708,.8667,3.3710,4.6551,3.2837,4.0209,3.4126,1.5946,1.6763,4.1845,4.2852,3.1555,2.8227,2.9279,2.7892,3.0525,5.9543,3.7757,3.4458,1.3148,6.6338,4.3908,5.1229,3.9135,1.8379,4.5061,4.3531,6.6505,2.8478,3.8262,3.8481,4.6236,4.6217,4.5078,3.7584,4.7678,3.5740,3.8680,4.1061,3.0530,3.5970,3.9113,4.6141,3.6926,4.9165,3.3979,4.9009,4.6436,3.5767,3.4963,3.3244,5.0279,5.1640,6.0997,4.2648,7.0874,5.6608,4.3352,5.7741,5.7048,6.3927,6.1532,3.6793,5.7804,5.9121,5.6250,6.1415,8.4651,6.1222,5.7154,5.6095,4.1848,7.1446,5.8408,7.5107,7.6633,6.2106,6.0130,7.9152,5.7329,7.8800,7.6691,5.7253,6.0748,7.5657,7.7650,6.2667,5.0758,5.3803,7.6296
